timestamp,y_true,yhat,lo,hi
2020-06-15 12:00:00+00:00,60119.0,28643.75639916866,15178.250706847804,42109.26209148951
2020-06-15 13:00:00+00:00,59344.0,27341.572864289054,13307.548253866807,41375.5974747113
2020-06-15 14:00:00+00:00,58072.0,27368.94146590661,12788.545883663228,41949.33704814999
2020-06-15 15:00:00+00:00,57394.0,27913.652731403334,12806.632546186866,43020.672916619806
2020-06-15 16:00:00+00:00,57888.0,28356.271013082962,12740.375369589361,43972.16665657656
2020-06-15 17:00:00+00:00,56457.0,29018.0629177068,12909.359043957587,45126.766791456015
2020-06-15 18:00:00+00:00,53510.0,31385.981765326116,14799.104824752896,47972.858705899336
2020-06-15 19:00:00+00:00,50874.0,33594.1314265848,16542.48535422249,50645.77749894711
2020-06-15 20:00:00+00:00,48831.0,33792.46521677631,16288.386225968628,51296.544207584
2020-06-15 21:00:00+00:00,44636.0,33776.70958174006,15831.600804664049,51721.818358816075
2020-06-15 22:00:00+00:00,41599.0,33989.14276774272,15613.586264792084,52364.69927069335
2020-06-15 23:00:00+00:00,40099.0,34362.984508197114,15566.835312623261,53159.13370377097
2020-06-16 00:00:00+00:00,39156.0,38184.71391407267,36184.171675823534,40185.25615232181
2020-06-16 01:00:00+00:00,39136.0,37661.06683046325,33844.651558659774,41477.482102266724
2020-06-16 02:00:00+00:00,40056.0,38222.25319330618,32844.32616801786,43600.18021859449
2020-06-16 03:00:00+00:00,43529.0,41161.34755191626,34446.041644823956,47876.653459008565
2020-06-16 04:00:00+00:00,51445.0,43540.024506980946,35660.59476480175,51419.45424916014
2020-06-16 05:00:00+00:00,56906.0,46296.23223809852,37383.65246104255,55208.81201515449
2020-06-16 06:00:00+00:00,60280.0,47772.45343376297,37926.713885877136,57618.1929816488
2020-06-16 07:00:00+00:00,61203.0,47955.52029257955,37254.56053898968,58656.480046169425
2020-06-16 08:00:00+00:00,62682.0,46523.91664133827,35029.93447576837,58017.89880690817
2020-06-16 09:00:00+00:00,64263.0,44736.91931447231,32500.690821214284,56973.14780773033
2020-06-16 10:00:00+00:00,64439.0,42844.8854798216,29908.720065454683,55781.05089418851
2020-06-16 11:00:00+00:00,63337.0,40587.20588109577,26986.99248088358,54187.41928130796
2020-06-16 12:00:00+00:00,60978.0,38777.98772695053,24544.63803841564,53011.337415485425
2020-06-16 13:00:00+00:00,59782.0,37277.37406538691,22437.862016384694,52116.886114389126
2020-06-16 14:00:00+00:00,58714.0,36677.67189864944,21255.798462140665,52099.54533515821
2020-06-16 15:00:00+00:00,58047.0,37024.55580979739,21041.52343773123,53007.58818186355
2020-06-16 16:00:00+00:00,57749.0,36909.30304073157,20384.155468137596,53434.450613325535
2020-06-16 17:00:00+00:00,56470.0,36664.330991120405,19614.29592156755,53714.36606067326
2020-06-16 18:00:00+00:00,54418.0,38028.63750059952,20469.39788271062,55587.877118488424
2020-06-16 19:00:00+00:00,51810.0,39394.89364952819,21340.805501645682,57448.9817974107
2020-06-16 20:00:00+00:00,49414.0,38725.36498669966,20189.634546390298,57261.095427009015
2020-06-16 21:00:00+00:00,45510.0,38015.774393550215,19010.603844958037,57020.94494214239
2020-06-16 22:00:00+00:00,42381.0,37879.01626765914,18415.724859717677,57342.307675600605
2020-06-16 23:00:00+00:00,40602.0,38035.31781605487,18124.443468296846,57946.1921638129
2020-06-17 00:00:00+00:00,40105.0,39555.40739653777,37539.924510720266,41570.89028235527
2020-06-17 01:00:00+00:00,40000.0,39386.38909643736,35531.127323543056,43241.65086933166
2020-06-17 02:00:00+00:00,41009.0,40313.4796176911,34872.11743131372,45754.84180406847
2020-06-17 03:00:00+00:00,43673.0,43708.51714295391,36906.81708814613,50510.217197761696
2020-06-17 04:00:00+00:00,50613.0,46138.462403534315,38151.87106504947,54125.05374201916
2020-06-17 05:00:00+00:00,56576.0,48862.896745480655,39824.48017143656,57901.31331952475
2020-06-17 06:00:00+00:00,59770.0,50393.91907174206,40405.46586717488,60382.37227630924
2020-06-17 07:00:00+00:00,60823.0,50519.993741177066,39660.93214558868,61379.05533676545
2020-06-17 08:00:00+00:00,61982.0,49179.19009005485,37512.93852950619,60845.44165060351
2020-06-17 09:00:00+00:00,63835.0,47882.23206629628,35460.5712433581,60303.89288923446
2020-06-17 10:00:00+00:00,63823.0,46245.59727531604,33111.671763344,59379.52278728808
2020-06-17 11:00:00+00:00,62520.0,43527.428063210195,29717.829875013333,57337.02625140706
2020-06-17 12:00:00+00:00,61069.0,41655.40221525105,27201.64271145589,56109.16171904621
2020-06-17 13:00:00+00:00,60206.0,40272.26477995242,25201.835782274447,55342.6937776304
2020-06-17 14:00:00+00:00,59717.0,39686.743049816156,24023.897958579,55349.58814105331
2020-06-17 15:00:00+00:00,59544.0,39712.97148091412,23479.3120582669,55946.630903561345
2020-06-17 16:00:00+00:00,59071.0,39521.2560110297,22736.181634238852,56306.33038782055
2020-06-17 17:00:00+00:00,57498.0,39360.22475653741,22041.28242243432,56679.167090640505
2020-06-17 18:00:00+00:00,54932.0,40291.765285030146,22454.926629725862,58128.60394033443
2020-06-17 19:00:00+00:00,52305.0,41119.18319207793,22779.06688106127,59459.29950309459
2020-06-17 20:00:00+00:00,49534.0,40187.79325016959,21357.845802360513,59017.74069797867
2020-06-17 21:00:00+00:00,45834.0,39195.13870784991,19887.783215046296,58502.49420065353
2020-06-17 22:00:00+00:00,42903.0,38792.571263907754,19019.330971839136,58565.81155597637
2020-06-17 23:00:00+00:00,40938.0,39030.35748050163,18801.959440252074,59258.75552075119
